n,a_n,parity,is_odd_term,last_checked_previous_term
1,1,odd,True,
2,8,even,False,1
3,14,even,False,1
4,20,even,False,1
5,24,even,False,1
6,25,odd,True,24
7,26,even,False,25
8,32,even,False,25
9,38,even,False,25
10,44,even,False,25
11,50,even,False,25
12,56,even,False,25
13,62,even,False,25
14,68,even,False,25
15,74,even,False,25
16,80,even,False,25
17,86,even,False,25
18,90,even,False,25
19,92,even,False,25
20,94,even,False,25
21,98,even,False,25
22,104,even,False,25
23,110,even,False,25
24,116,even,False,25
25,118,even,False,25
26,120,even,False,25
27,122,even,False,25
28,128,even,False,25
29,134,even,False,25
30,140,even,False,25
31,144,even,False,25
32,146,even,False,25
33,152,even,False,25
34,158,even,False,25
35,160,even,False,25
36,164,even,False,25
37,170,even,False,25
38,176,even,False,25
39,182,even,False,25
40,184,even,False,25
41,188,even,False,25
42,194,even,False,25
43,200,even,False,25
44,206,even,False,25
45,212,even,False,25
46,218,even,False,25
47,220,even,False,25
48,224,even,False,25
49,230,even,False,25
50,234,even,False,25
51,236,even,False,25
52,242,even,False,25
53,248,even,False,25
54,254,even,False,25
55,260,even,False,25
56,264,even,False,25
57,266,even,False,25
58,272,even,False,25
59,274,even,False,25
60,278,even,False,25
61,284,even,False,25
62,290,even,False,25
63,294,even,False,25
64,296,even,False,25
65,298,even,False,25
66,300,even,False,25
67,302,even,False,25
68,304,even,False,25
69,308,even,False,25
70,314,even,False,25
71,318,even,False,25
72,320,even,False,25
73,326,even,False,25
74,332,even,False,25
75,338,even,False,25
76,340,even,False,25
77,344,even,False,25
78,350,even,False,25
79,356,even,False,25
80,360,even,False,25
81,362,even,False,25
82,368,even,False,25
83,370,even,False,25
84,374,even,False,25
85,380,even,False,25
86,386,even,False,25
87,390,even,False,25
88,392,even,False,25
89,398,even,False,25
90,402,even,False,25
91,404,even,False,25
92,410,even,False,25
93,412,even,False,25
94,416,even,False,25
95,422,even,False,25
96,426,even,False,25
97,428,even,False,25
98,434,even,False,25
99,440,even,False,25
100,444,even,False,25
101,446,even,False,25
102,450,even,False,25
103,452,even,False,25
104,458,even,False,25
105,464,even,False,25
106,468,even,False,25
107,470,even,False,25
108,472,even,False,25
109,476,even,False,25
110,480,even,False,25
111,482,even,False,25
112,488,even,False,25
113,492,even,False,25
114,494,even,False,25
115,500,even,False,25
116,504,even,False,25
117,506,even,False,25
118,510,even,False,25
119,512,even,False,25
120,514,even,False,25
121,518,even,False,25
122,524,even,False,25
123,526,even,False,25
124,528,even,False,25
125,530,even,False,25
126,534,even,False,25
127,536,even,False,25
128,542,even,False,25
129,548,even,False,25
130,550,even,False,25
131,554,even,False,25
132,558,even,False,25
133,560,even,False,25
134,564,even,False,25
135,566,even,False,25
136,572,even,False,25
137,578,even,False,25
138,580,even,False,25
139,584,even,False,25
140,590,even,False,25
141,596,even,False,25
142,602,even,False,25
143,604,even,False,25
144,608,even,False,25
145,610,even,False,25
146,614,even,False,25
147,620,even,False,25
148,624,even,False,25
