m,least_witness,previous_record,new_record_gap,witness_count
27,14,,,3
49,24,14,10,1
91,90,24,66,1
145,94,90,4,2
235,118,94,24,3
775,144,118,26,21
781,160,144,16,15
841,220,160,60,16
1825,264,220,44,58
2185,274,264,10,59
4381,298,274,24,152
4411,318,298,20,132
7081,370,318,52,233
14815,402,370,32,542
31315,412,402,10,1046
32365,468,412,56,1021
53131,480,468,12,1700
60061,528,480,48,1881
157105,534,528,6,5155
159415,564,534,30,5312
226591,712,564,148,7838
930955,754,712,42,29619
1083811,816,754,62,37292
2231485,868,816,52,76062
2282305,1056,868,188,73254
